date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/4/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3585899,,7.56
3/4/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,1050231,,5.08
3/4/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3729941,,4.86
3/4/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,15106475,,4.68
3/4/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3204326,,4.02
3/4/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4610782,,4.14
3/4/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1730550,,3.87
3/4/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,9320569,,4.06
3/4/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3824001,,3.42
3/4/2021,ARKG,CAREDX INC,CDNA,14167L103,4519377,,3.23
3/4/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7756134,,2.65
3/4/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2063144,,2.56
3/4/2021,ARKG,INCYTE CORP,INCY,45337C102,3028303,,2.53
3/4/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,849719,,2.34
3/4/2021,ARKG,INVITAE CORP,NVTA,46185L103,5526647,,2.14
3/4/2021,ARKG,ACCOLADE INC,ACCD,4.37E+104,4875409,,2.05
3/4/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3812694,,2.1
3/4/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2631672,,1.93
3/4/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1178136,,1.87
3/4/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,7788938,,1.69
3/4/2021,ARKG,PERSONALIS INC,PSNL,71535D106,6026960,,1.66
3/4/2021,ARKG,BERKELEY LIGHTS INC,BLI,84310101,2809815,,1.62
3/4/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2082833,,1.63
3/4/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1885035,,1.67
3/4/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1815061,,1.44
3/4/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2263016,,1.45
3/4/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2769884,,1.3
3/4/2021,ARKG,CODEXIS INC,CDXS,192005106,5883666,,1.27
3/4/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1948338,,1.14
3/4/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,242878,,1.15
3/4/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5397750,,1.12
3/4/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,712518,,1.02
3/4/2021,ARKG,PHREESIA INC,PHR,71944F106,1734959,,1.06
3/4/2021,ARKG,VERACYTE INC,VCYT,92337F107,1823514,,0.92
3/4/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1343882,,0.88
3/4/2021,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,20021,,0.44
3/4/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1620338,,0.7
3/4/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,4014072,,0.69
3/4/2021,ARKG,ABBVIE INC,ABBV,00287Y109,560612,,0.64
3/4/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3177053,,0.62
3/4/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,3713206,,0.64
3/4/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,7707555,,0.51
3/4/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,1583331,,0.47
3/4/2021,ARKG,CERUS CORP,CERS,157085101,7291687,,0.46
3/4/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,5115989,,0.45
3/4/2021,ARKG,908 DEVICES INC,MASS,65443P102,982570,,0.45
3/4/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,1294051,,0.38
3/4/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,3917929,,0.32
3/4/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,1112900,,0.5
3/4/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,2825128,,0.24
3/4/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,4098383,,0.21
3/4/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,3408222,,0.2
3/4/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,183649,,0.06
