date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/9/2021,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,3476975.00,671195254.00,7.26
3/9/2021,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,14598852.00,458111975.76,4.96
3/9/2021,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,971612.00,457269755.56,4.95
3/9/2021,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,3616618.00,448315967.28,4.85
3/9/2021,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,3096657.00,387175024.71,4.19
3/9/2021,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,4470705.00,373482695.70,4.04
3/9/2021,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,1677947.00,359147775.88,3.89
3/9/2021,ARKG,"ROCHE HOLDINGS LTD-SPONS ADR",RHHBY,771195104,8523335.00,350436918.53,3.79
3/9/2021,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,19197714.00,349782349.08,3.78
3/9/2021,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,3707823.00,328216491.96,3.55
3/9/2021,ARKG,"CAREDX INC",CDNA,14167L103,4382072.00,283344775.52,3.07
3/9/2021,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,7520464.00,259230394.08,2.80
3/9/2021,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,1993800.00,250481094.00,2.71
3/9/2021,ARKG,"INCYTE CORP",INCY,45337C102,2936305.00,232291088.55,2.51
3/9/2021,ARKG,"ACCOLADE INC",ACCD,00437E102,5007185.00,218263194.15,2.36
3/9/2021,ARKG,"VEEVA SYSTEMS INC-CLASS A",VEEV,922475108,823913.00,206719771.70,2.24
3/9/2021,ARKG,"INVITAE CORP",NVTA,46185L103,5340917.00,207441216.28,2.24
