date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/9/2021,ARKQ,"TESLA INC",TSLA,88160R101,529492.00,356655221.36,10.90
3/9/2021,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,697838.00,184424626.64,5.64
3/9/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,2400113.00,168895951.81,5.16
3/9/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,1825823.00,163465933.19,5.00
3/9/2021,ARKQ,"DEERE & CO",DE,244199105,459178.00,161947488.82,4.95
3/9/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,63020.00,129361154.00,3.95
3/9/2021,ARKQ,"TERADYNE INC",TER,880770102,1130516.00,128132683.44,3.92
3/9/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,5100601.00,126188868.74,3.86
3/9/2021,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,628817.00,115589140.94,3.53
3/9/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,3595585.00,110204680.25,3.37
3/9/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,439322.00,95245009.60,2.91
3/9/2021,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,268767.00,90708862.50,2.77
3/9/2021,ARKQ,"TELEDYNE TECHNOLOGIES INC",TDY,879360105,210731.00,80897523.59,2.47
3/9/2021,ARKQ,"NVIDIA CORP",NVDA,67066G104,157240.00,78747364.40,2.41
3/9/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,1930276.00,77288251.04,2.36
3/9/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,1860243.00,71619355.50,2.19
3/9/2021,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,1817197.00,69744020.86,2.13
3/9/2021,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,566225.00,65897265.50,2.01
3/9/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,6858030.00,65014124.40,1.99
3/9/2021,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,1320208.00,64888355.22,1.98
3/9/2021,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,3885735.00,63531767.25,1.94
3/9/2021,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,706213.00,62153806.13,1.90
3/9/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,571523.00,60792901.51,1.86
3/9/2021,ARKQ,"SYNOPSYS INC",SNPS,871607107,256429.00,58568383.60,1.79
3/9/2021,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,78837.00,55406643.60,1.69
3/9/2021,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,1684398.00,50868819.60,1.55
3/9/2021,ARKQ,"RAVEN INDUSTRIES INC",RAVN,754212108,1164334.00,44046755.22,1.35
3/9/2021,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,496230.00,42611270.10,1.30
3/9/2021,ARKQ,"2U INC",TWOU,90214J101,1067297.00,39564699.79,1.21
3/9/2021,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,270928.00,36361246.88,1.11
3/9/2021,ARKQ,"PACCAR INC",PCAR,693718108,381534.00,36333482.82,1.11
3/9/2021,ARKQ,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,142639.00,33968051.46,1.04
3/9/2021,ARKQ,"STRATASYS LTD",SSYS,M85548101,1311556.00,32041313.08,0.98
3/9/2021,ARKQ,"ANSYS INC",ANSS,03662Q105,103835.00,31981180.00,0.98
3/9/2021,ARKQ,"EXPERIENCE INVESTMENT CORP-A",EXPC,30217C109,2581533.00,30436274.07,0.93
3/9/2021,ARKQ,"PROTO LABS INC",PRLB,743713109,229887.00,29335880.07,0.90
3/9/2021,ARKQ,"XILINX INC",XLNX,983919101,236283.00,28420119.24,0.87
3/9/2021,ARKQ,"EXONE CO/THE",XONE,302104104,886171.00,27834631.11,0.85
3/9/2021,ARKQ,"VUZIX CORP",VUZI,92921W300,1414438.00,22362264.78,0.68
3/9/2021,ARKQ,"AUTODESK INC",ADSK,052769106,74033.00,19542491.01,0.60
3/9/2021,ARKQ,"ONE - CLASS A",AONE,G7000X105,1447297.00,17049158.66,0.52
3/9/2021,ARKQ,"UNITY SOFTWARE INC",U,91332U101,164285.00,16108144.25,0.49
3/9/2021,ARKQ,"ATLAS CREST INVESTMENT COR-A",ACIC,049284102,1412965.00,15443707.45,0.47
3/9/2021,ARKQ,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,8771297.96,8771297.96,0.27
3/9/2021,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,175137.00,1996561.80,0.06
3/9/2021,ARKQ,"AMAZON.COM INC",AMZN,023135106,214.00,655449.90,0.02
3/9/2021,ARKQ,"APPLE INC",AAPL,037833100,4368.00,528899.28,0.02
3/9/2021,ARKQ,"ROCKWELL AUTOMATION INC",ROK,773903109,1228.00,318936.16,0.01
3/9/2021,ARKQ,"FLIR SYSTEMS INC",FLIR,302445101,5433.00,294631.59,0.01
