date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/9/2021,ARKW,"TESLA INC",TSLA,88160R101,1136396.00,765453617.68,10.82
3/9/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,7978046.00,391881619.52,5.54
3/9/2021,ARKW,"SQUARE INC - A",SQ,852234103,1676422.00,377345827.98,5.34
3/9/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,1511011.00,291685563.44,4.12
3/9/2021,ARKW,"ROKU INC",ROKU,77543R102,800137.00,288937472.07,4.09
3/9/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,221703.00,250688450.22,3.55
3/9/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,912328.00,249594694.24,3.53
3/9/2021,ARKW,"TWITTER INC",TWTR,90184L102,3042405.00,205423185.60,2.91
3/9/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,480355.00,164334249.05,2.32
3/9/2021,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1395853.00,159699541.73,2.26
3/9/2021,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,651713.00,157558134.88,2.23
3/9/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,1088737.00,150539664.99,2.13
3/9/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,400125.00,144989295.00,2.05
3/9/2021,ARKW,"JD.COM INC-ADR",JD,47215P106,1584027.00,141817937.31,2.01
3/9/2021,ARKW,"NETFLIX INC",NFLX,64110L106,274535.00,139035505.40,1.97
3/9/2021,ARKW,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,6252095.00,135295335.80,1.91
3/9/2021,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1523672.00,130837714.64,1.85
3/9/2021,ARKW,"SEA LTD-ADR",SE,81141R100,562751.00,128571720.97,1.82
3/9/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,1293498.00,126827478.90,1.79
3/9/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,5200363.00,126160806.38,1.78
3/9/2021,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,159254.00,114554587.28,1.62
3/9/2021,ARKW,"AGORA INC-ADR",API,00851L103,1920728.00,114475388.80,1.62
3/9/2021,ARKW,"DOCUSIGN INC",DOCU,256163106,520709.00,111025572.98,1.57
3/9/2021,ARKW,"BAIDU INC - SPON ADR",BIDU,056752108,409875.00,108321765.00,1.53
3/9/2021,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4858736.00,103782600.96,1.47
3/9/2021,ARKW,"HUYA INC-ADR",HUYA,44852D108,4001666.00,103963282.68,1.47
3/9/2021,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,1435096.00,99021624.00,1.40
3/9/2021,ARKW,"KE HOLDINGS INC",BEKE,482497104,1784899.00,95938321.25,1.36
3/9/2021,ARKW,"DRAFTKINGS INC - CL A",DKNG,26142R104,1366271.00,84982056.20,1.20
3/9/2021,ARKW,"ADYEN NV-UNSPON ADR",ADYEY,00783V104,1792462.00,82973065.98,1.17
3/9/2021,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,685204.00,79497368.08,1.12
3/9/2021,ARKW,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,636169.00,79502039.93,1.12
3/9/2021,ARKW,"SKILLZ INC",SKLZ,83067L109,3133315.00,79460868.40,1.12
3/9/2021,ARKW,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,1126374.00,77832443.40,1.10
3/9/2021,ARKW,"ADOBE INC",ADBE,00724F101,173234.00,76080908.12,1.08
3/9/2021,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1109734.00,74884850.32,1.06
3/9/2021,ARKW,"VERACYTE INC",VCYT,92337F107,1466657.00,74344843.33,1.05
3/9/2021,ARKW,"LENDINGTREE INC","TREE UW",52603B107,316341.00,74355952.05,1.05
3/9/2021,ARKW,"HUBSPOT INC",HUBS,443573100,163393.00,73526850.00,1.04
3/9/2021,ARKW,"SNAP INC - A",SNAP,83304A106,1298661.00,73114614.30,1.03
3/9/2021,ARKW,"PAGERDUTY INC",PD,69553P100,1910244.00,71385818.28,1.01
3/9/2021,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,254585.00,67653417.90,0.96
3/9/2021,ARKW,"MERCADOLIBRE INC",MELI,58733R102,46547.00,67586709.47,0.96
3/9/2021,ARKW,"ATLASSIAN CORP PLC-CLASS A",TEAM,G06242104,285531.00,66542999.55,0.94
3/9/2021,ARKW,"SYNOPSYS INC",SNPS,871607107,291702.00,66624736.80,0.94
3/9/2021,ARKW,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,334481.00,66595167.10,0.94
3/9/2021,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,943473.00,65505330.39,0.93
3/9/2021,ARKW,"NVIDIA CORP",NVDA,67066G104,127162.00,63684001.22,0.90
3/9/2021,ARKW,"2U INC",TWOU,90214J101,1677998.00,62203385.86,0.88
3/9/2021,ARKW,"NANO DIMENSION LTD - ADR",NNDM,63008G203,5642601.00,53491857.48,0.76
3/9/2021,ARKW,"OKTA INC",OKTA,679295105,237977.00,52350180.46,0.74
3/9/2021,ARKW,"LENDINGCLUB CORP",LC,52603A208,4103780.00,45757147.00,0.65
3/9/2021,ARKW,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,12407579.14,12407579.14,0.18
3/9/2021,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,9087.00,1057545.06,0.01
