date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/12/2021,ARKF,SQUARE INC - A,SQ,852234103,1828275,442643660.3,10.47
3/12/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,907905,227294016.8,5.38
3/12/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1374799,207195957.3,4.9
3/12/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1312926,181958414.3,4.3
3/12/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1437722,165798101,3.92
3/12/2021,ARKF,SEA LTD-ADR,SE,81141R100,663871,156003046.3,3.69
3/12/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1843493,152217217,3.6
3/12/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2069463,148483970.3,3.51
3/12/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,127548,145485075.2,3.44
3/12/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,56788,131437980,3.11
3/12/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,77378,119947506.7,2.84
3/12/2021,ARKF,SNAP INC - A,SNAP,83304A106,1849926,115971860.9,2.74
3/12/2021,ARKF,YEAHKA LTD,9923,BL58D39,11459600,115440397.8,2.73
3/12/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4254193,115075920.7,2.72
3/12/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,488137,113184326.2,2.68
3/12/2021,ARKF,TWILIO INC - A,TWLO,90138F102,289624,106879944.7,2.53
3/12/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,15762345,103555366,2.45
3/12/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2255582,96757459.42,2.29
3/12/2021,ARKF,DOCUSIGN INC,DOCU,256163106,392344,82525636.96,1.95
3/12/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,302470,81182948,1.92
3/12/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,320651,81038127.23,1.92
3/12/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14140930,80492129.76,1.9
3/12/2021,ARKF,APPLE INC,AAPL,37833100,661889,80108425.67,1.89
3/12/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1319505,77850795,1.84
3/12/2021,ARKF,INTUIT INC,INTU,461202103,195888,77561853.6,1.83
3/12/2021,ARKF,AMAZON.COM INC,AMZN,23135106,24179,74700778.71,1.77
3/12/2021,ARKF,JD.COM INC-ADR,JD,47215P106,796559,66926887.18,1.58
3/12/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,277698,54970319.1,1.3
3/12/2021,ARKF,DISCOVERY LTD,DSY,6177878,5371188,53174491.61,1.26
3/12/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,3954000,49381705.05,1.17
3/12/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,831904,49049059.84,1.16
3/12/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,698339,47242633.35,1.12
3/12/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,630532,45240671,1.07
3/12/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,536033,43295385.41,1.02
3/12/2021,ARKF,BASE INC,4477,BKRQ8Q2,447100,41752848.36,0.99
3/12/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,401069,42064116.72,0.99
3/12/2021,ARKF,NVIDIA CORP,NVDA,67066G104,77650,39930736,0.94
3/12/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,240230,38691443.8,0.92
3/12/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,154879,36604102.86,0.87
3/12/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,1916620,28902629.6,0.68
3/12/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,214951,25428703.3,0.6
3/12/2021,ARKF,BILL.COM HOLDINGS INC,BILL,90043100,136827,21947050.8,0.52
3/12/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,32532,16883132.04,0.4
3/12/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,148064,10468124.8,0.25
3/12/2021,ARKF,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,9649346.53,9649346.53,0.23
3/12/2021,ARKF,SPLUNK INC,SPLK,848637104,23070,3135674.4,0.07
3/12/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,18027,3096317.52,0.07
3/12/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,8824,609776.54,0.01
