date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/12/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3559475,704598076.3,7.18
3/12/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,14598852,494755094.3,5.04
3/12/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3702418,475612616.3,4.85
3/12/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,944664,445371289.4,4.54
3/12/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3096657,437867299.8,4.46
3/12/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1831861,392622768.1,4
3/12/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4576755,385042398.2,3.92
3/12/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,19653102,362403200.9,3.69
3/12/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,8725535,358008701.1,3.65
3/12/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3795773,356764704.3,3.63
3/12/2021,ARKG,CAREDX INC,CDNA,14167L103,4486022,302985925.9,3.09
3/12/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7698864,267073592.2,2.72
3/12/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1993800,260410218,2.65
3/12/2021,ARKG,INCYTE CORP,INCY,45337C102,3005967,237501452.7,2.42
3/12/2021,ARKG,ACCOLADE INC,ACCD,4.37E+104,5125985,235846569.9,2.4
3/12/2021,ARKG,INVITAE CORP,NVTA,46185L103,5340917,228057155.9,2.32
3/12/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,843463,217419457.5,2.21
3/12/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3920936,207770398.6,2.12
3/12/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2387851,193105510.4,1.97
3/12/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1169464,187137629.3,1.91
3/12/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1801677,177321050.3,1.81
3/12/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,7527197,168609212.8,1.72
3/12/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3400755,168269357.4,1.71
3/12/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2612272,167681739.7,1.71
3/12/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1871142,161797648.7,1.65
3/12/2021,ARKG,PERSONALIS INC,PSNL,71535D106,5824440,157376368.8,1.6
3/12/2021,ARKG,BERKELEY LIGHTS INC,BLI,84310101,2789103,151280946.7,1.54
3/12/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2246293,136215207.5,1.39
3/12/2021,ARKG,CODEXIS INC,CDXS,192005106,6082647,127857239.9,1.3
3/12/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1882857,123364790.6,1.26
3/12/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2781039,115385308.1,1.18
3/12/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,241086,108606832.1,1.11
3/12/2021,ARKG,PHREESIA INC,PHR,71944F106,1722170,105930676.7,1.08
3/12/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5216333,104065843.4,1.06
3/12/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,707270,101111319.2,1.03
3/12/2021,ARKG,VERACYTE INC,VCYT,92337F107,1762243,92482512.64,0.94
3/12/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1333967,87641631.9,0.89
3/12/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,4096463,77423150.7,0.79
3/12/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,4255855,73498615.85,0.75
3/12/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1565880,72468926.4,0.74
3/12/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3070303,65612375.11,0.67
3/12/2021,ARKG,ABBVIE INC,ABBV,00287Y109,556484,60222698.48,0.61
3/12/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,7448539,55938527.89,0.57
3/12/2021,ARKG,908 DEVICES INC,MASS,65443P102,975384,52953597.36,0.54
3/12/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,1104708,47712338.52,0.49
3/12/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,1571667,47417193.39,0.48
3/12/2021,ARKG,CERUS CORP,CERS,157085101,7046657,45028138.23,0.46
