date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/12/2021,ARKK,TESLA INC,TSLA,88160R101,3770631,2615799844,10.71
3/12/2021,ARKK,SQUARE INC - A,SQ,852234103,6551286,1586131853,6.49
3/12/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,7212655,1427745057,5.84
3/12/2021,ARKK,ROKU INC,ROKU,77543R102,3807888,1370687364,5.61
3/12/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5690802,857660769.4,3.51
3/12/2021,ARKK,BAIDU INC - SPON ADR,BIDU,56752108,3120911,824700731.8,3.38
3/12/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2727059,763276543.5,3.12
3/12/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5648792,737788723.1,3.02
3/12/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,647055,738050344.7,3.02
3/12/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2045574,708566377.9,2.9
3/12/2021,ARKK,INVITAE CORP,NVTA,46185L103,16243844,693612138.8,2.84
3/12/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4850730,623124775.8,2.55
3/12/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,5103245,539412996.5,2.21
3/12/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1456941,537654937.2,2.2
3/12/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2211681,465204981.5,1.9
3/12/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,19839002,444393644.8,1.82
3/12/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2936348,415199607.2,1.7
3/12/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11731146,406953454.7,1.67
3/12/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6008215,393658246.8,1.61
3/12/2021,ARKK,PROTO LABS INC,PRLB,743713109,2893478,390330182.2,1.6
3/12/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,6314374,372295491,1.52
3/12/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,4284117,353739540.7,1.45
3/12/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4820758,333596453.6,1.37
3/12/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2051140,328223422.8,1.34
3/12/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7667986,317914699.6,1.3
3/12/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,2715226,313119862.3,1.28
3/12/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,1196811,299621633.9,1.23
3/12/2021,ARKK,PAGERDUTY INC,PD,69553P100,7027865,296857017.6,1.22
3/12/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,10838259,291765932.3,1.19
3/12/2021,ARKK,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,291100051.1,291100051.1,1.19
3/12/2021,ARKK,2U INC,TWOU,90214J101,7495643,288807124.8,1.18
3/12/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6193268,286624443,1.17
3/12/2021,ARKK,SEA LTD-ADR,SE,81141R100,1197211,281332612.9,1.15
3/12/2021,ARKK,PACCAR INC,PCAR,693718108,2781855,269700842.3,1.1
3/12/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1089808,257565222.7,1.05
3/12/2021,ARKK,TWITTER INC,TWTR,90184L102,3725357,253696811.7,1.04
3/12/2021,ARKK,VERACYTE INC,VCYT,92337F107,4505095,236427385.6,0.97
3/12/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,2792761,234954982.9,0.96
3/12/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,6752954,228857611.1,0.94
3/12/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5367003,229224698.1,0.94
3/12/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,2317204,228059217.7,0.93
3/12/2021,ARKK,SYNOPSYS INC,SNPS,871607107,951311,218278309,0.89
3/12/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,433023,204153023.6,0.84
3/12/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,2103428,197701197.7,0.81
3/12/2021,ARKK,STRATASYS LTD,SSYS,M85548101,6025076,170750653.8,0.7
3/12/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,6401525,168680183.8,0.69
3/12/2021,ARKK,TERADYNE INC,TER,880770102,1431225,161485116.8,0.66
3/12/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,7479470,159836273.9,0.65
3/12/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1933546,127033972.2,0.52
3/12/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,1772547,127180247.3,0.52
3/12/2021,ARKK,BERKELEY LIGHTS INC,BLI,84310101,2139239,116032323.4,0.47
3/12/2021,ARKK,CERUS CORP,CERS,157085101,17738630,113349845.7,0.46
3/12/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,9332660,83060674,0.34
3/12/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,4705077,42251591.46,0.17
3/12/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,57136,6759188.8,0.03
3/12/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,68620A203,123609,1451169.66,0.01
