date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/12/2021,ARKQ,TESLA INC,TSLA,88160R101,536182,371965538.9,10.79
3/12/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,56752108,706648,186731734,5.42
3/12/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2430423,179535347,5.21
3/12/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1925894,161813613.9,4.69
3/12/2021,ARKQ,DEERE & CO,DE,244199105,430047,158898066,4.61
3/12/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5165003,136975879.6,3.97
3/12/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,63820,131591734.4,3.82
3/12/2021,ARKQ,TERADYNE INC,TER,880770102,1144786,129166204.4,3.75
3/12/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,636757,116825806.8,3.39
3/12/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3614541,114617095.1,3.32
3/12/2021,ARKQ,CATERPILLAR INC,CAT,149123101,416770,95440330,2.77
3/12/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,272157,92585089.83,2.69
3/12/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,213391,84297980.64,2.44
3/12/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,159222,81878321.28,2.37
3/12/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1954648,81039706.08,2.35
3/12/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,6944624,78543697.44,2.28
3/12/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,1883733,78438642.12,2.27
3/12/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1810320,77318767.2,2.24
3/12/2021,ARKQ,AEROVIRONMENT INC,AVAV,8073108,578743,70421448.24,2.04
3/12/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,567675,67155952.5,1.95
3/12/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,3934797,66380025.39,1.93
3/12/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1336878,66589893.18,1.93
3/12/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,715133,66450158.36,1.93
3/12/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,259669,59581052.05,1.73
3/12/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1705668,58930829.4,1.71
3/12/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,79835,58598091.65,1.7
3/12/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,1179034,49495847.32,1.44
3/12/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,502500,41491425,1.2
3/12/2021,ARKQ,2U INC,TWOU,90214J101,1063257,40967292.21,1.19
3/12/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,291636,40744465.56,1.18
3/12/2021,ARKQ,PACCAR INC,PCAR,693718108,386354,37457020.3,1.09
3/12/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1306592,37028817.28,1.07
3/12/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,2776153,36034465.94,1.05
3/12/2021,ARKQ,ANSYS INC,ANSS,03662Q105,105145,33318347.6,0.97
3/12/2021,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,144439,33491070.93,0.97
3/12/2021,ARKQ,EXONE CO/THE,XONE,302104104,882817,32125710.63,0.93
3/12/2021,ARKQ,VUZIX CORP,VUZI,92921W300,1432297,31682409.64,0.92
3/12/2021,ARKQ,PROTO LABS INC,PRLB,743713109,229017,30894393.3,0.9
3/12/2021,ARKQ,XILINX INC,XLNX,983919101,239263,30015543.35,0.87
3/12/2021,ARKQ,AUTODESK INC,ADSK,52769106,74963,20098329.93,0.58
3/12/2021,ARKQ,ONE - CLASS A,AONE,G7000X105,1598181,19673608.11,0.57
3/12/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,166357,17583934.9,0.51
3/12/2021,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,49284102,1430804,15953464.6,0.46
3/12/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,459463,14307677.82,0.41
3/12/2021,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,9770140.1,9770140.1,0.28
3/12/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,174474,2048324.76,0.06
3/12/2021,ARKQ,APPLE INC,AAPL,37833100,4428,535920.84,0.02
3/12/2021,ARKQ,AMAZON.COM INC,AMZN,23135106,214,661150.86,0.02
3/12/2021,ARKQ,FLIR SYSTEMS INC,FLIR,302445101,5503,303545.48,0.01
3/12/2021,ARKQ,ROCKWELL AUTOMATION INC,ROK,773903109,1248,331019.52,0.01
