date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/12/2021,ARKW,TESLA INC,TSLA,88160R101,1143671,793398882.8,10.68
3/12/2021,ARKW,SQUARE INC - A,SQ,852234103,1687153,408476612.8,5.5
3/12/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,8029127,401456350,5.4
3/12/2021,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1520686,301019793.7,4.05
3/12/2021,ARKW,ROKU INC,ROKU,77543R102,805261,289861749.6,3.9
3/12/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,918169,256986321.4,3.46
3/12/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,223119,254496225,3.42
3/12/2021,ARKW,TWITTER INC,TWTR,90184L102,3061887,208514504.7,2.81
3/12/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,6292130,170202116.5,2.29
3/12/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,483430,167455317.7,2.25
3/12/2021,ARKW,ZILLOW GROUP INC - C,Z,98954M200,1095709,165134303.4,2.22
3/12/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,655886,164201060.1,2.21
3/12/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1404790,162000382.8,2.18
3/12/2021,ARKW,TWILIO INC - A,TWLO,90138F102,402687,148603583.6,2
3/12/2021,ARKW,NETFLIX INC,NFLX,64110L106,276293,143125299.9,1.93
3/12/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,5233660,140890127.2,1.9
3/12/2021,ARKW,UNITY SOFTWARE INC,U,91332U101,1301781,137598251.7,1.85
3/12/2021,ARKW,JD.COM INC-ADR,JD,47215P106,1594170,133942163.4,1.8
3/12/2021,ARKW,SEA LTD-ADR,SE,81141R100,566354,133087526.5,1.79
3/12/2021,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1533428,126615150,1.7
3/12/2021,ARKW,AGORA INC-ADR,API,00851L103,1933025,126400504.8,1.7
3/12/2021,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,160274,120401034.3,1.62
3/12/2021,ARKW,SKILLZ INC,SKLZ,83067L109,3785602,110993850.6,1.49
3/12/2021,ARKW,DOCUSIGN INC,DOCU,256163106,524045,110227625.3,1.48
3/12/2021,ARKW,BAIDU INC - SPON ADR,BIDU,56752108,412500,109003125,1.47
3/12/2021,ARKW,FASTLY INC - CLASS A,FSLY,31188V100,1444285,108552460.6,1.46
3/12/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,4858736,108835686.4,1.46
3/12/2021,ARKW,KE HOLDINGS INC,BEKE,482497104,1796329,105911557.8,1.43
3/12/2021,ARKW,HUYA INC-ADR,HUYA,44852D108,4001666,105443899.1,1.42
3/12/2021,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,1375019,98657613.25,1.33
3/12/2021,ARKW,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,640243,88731277.37,1.19
3/12/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1803940,84370273.8,1.14
3/12/2021,ARKW,SNAP INC - A,SNAP,83304A106,1306977,81934388.13,1.1
3/12/2021,ARKW,PAGERDUTY INC,PD,69553P100,1910244,80688706.56,1.09
3/12/2021,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,1116841,80133341.75,1.08
3/12/2021,ARKW,HUBSPOT INC,HUBS,443573100,164437,79242190.3,1.07
3/12/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,689593,76924099.15,1.04
3/12/2021,ARKW,VERACYTE INC,VCYT,92337F107,1466657,76970159.36,1.04
3/12/2021,ARKW,ADOBE INC,ADBE,00724F101,174344,77461039.2,1.04
3/12/2021,ARKW,LENDINGTREE INC,TREE UW,52603B107,316341,74764031.94,1.01
3/12/2021,ARKW,MERCADOLIBRE INC,MELI,58733R102,46847,72619877.05,0.98
3/12/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,949515,72447994.5,0.97
3/12/2021,ARKW,SYNOPSYS INC,SNPS,871607107,293568,67359177.6,0.91
3/12/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,336623,66987977,0.9
3/12/2021,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,287361,65880382.86,0.89
3/12/2021,ARKW,NVIDIA CORP,NVDA,67066G104,127978,65811406.72,0.89
3/12/2021,ARKW,2U INC,TWOU,90214J101,1677998,64653262.94,0.87
3/12/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,5678742,64226572.02,0.86
3/12/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,927676,64195179.2,0.86
3/12/2021,ARKW,LENDINGCLUB CORP,LC,52603A208,4103780,61885002.4,0.83
3/12/2021,ARKW,OKTA INC,OKTA,679295105,239501,54366727,0.73
3/12/2021,ARKW,FACEBOOK INC-CLASS A,FB,30303M102,188969,50719279.6,0.68
3/12/2021,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,520742,36295717.4,0.49
3/12/2021,ARKW,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,10185530.91,10185530.91,0.14
3/12/2021,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,9147,1082090.1,0.01
