date,fund,company,ticker,cusip,shares,market value ($),weight (%)
10/06/2021,ARKF,SQUARE INC - A,SQ,852234103,"1,376,949","$324,932,425.02 ",10.18%
10/06/2021,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"834,344","$200,317,650.96 ",6.28%
10/06/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"145,616","$191,933,537.28 ",6.01%
10/06/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"2,180,176","$188,585,224.00 ",5.91%
10/06/2021,ARKF,SEA LTD-ADR,SE,81141R100,"462,533","$148,445,341.02 ",4.65%
10/06/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"559,121","$145,455,328.15 ",4.56%
10/06/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,"40,092","$113,940,789.79 ",3.57%
10/06/2021,ARKF,TWILIO INC - A,TWLO,90138F102,"344,556","$110,337,167.88 ",3.46%
10/06/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,"64,841","$102,801,515.04 ",3.22%
10/06/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,"5,350,955","$102,845,355.10 ",3.22%
10/06/2021,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"1,868,032","$95,867,402.24 ",3.00%
10/06/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,"650,652","$80,889,056.64 ",2.53%
10/06/2021,ARKF,JD.COM INC-ADR,JD,47215P106,"1,114,089","$79,791,054.18 ",2.50%
10/06/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"1,566,064","$78,303,200.00 ",2.45%
10/06/2021,ARKF,DOCUSIGN INC,DOCU,256163106,"287,711","$73,711,558.20 ",2.31%
10/06/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,"482,367","$73,802,151.00 ",2.31%
10/06/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,"204,953","$68,241,150.88 ",2.14%
10/06/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,"726,627","$68,419,198.32 ",2.14%
10/06/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,"1,380,053","$68,022,812.37 ",2.13%
10/06/2021,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,529,833","$64,268,284.33 ",2.01%
10/06/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,"2,166,098","$62,123,690.64 ",1.95%
10/06/2021,ARKF,DISCOVERY LTD,DSY,6177878,"6,530,584","$60,851,415.54 ",1.91%
10/06/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,"239,350","$60,328,167.50 ",1.89%
10/06/2021,ARKF,STONECO LTD-A,STNE,G85158106,"1,775,750","$59,487,625.00 ",1.86%
10/06/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"487,264","$57,536,133.12 ",1.80%
10/06/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,"641,714","$56,098,637.88 ",1.76%
10/06/2021,ARKF,INTUIT INC,INTU,461202103,"101,675","$54,228,361.25 ",1.70%
10/06/2021,ARKF,BILL.COM HOLDINGS INC,BILL,90043100,"192,691","$51,523,646.49 ",1.61%
10/06/2021,ARKF,Z HOLDINGS CORP,4689,6084848,"8,387,185","$50,662,465.00 ",1.59%
10/06/2021,ARKF,ETSY INC,ETSY,29786A106,"228,895","$46,612,177.80 ",1.46%
10/06/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,"713,886","$41,762,331.00 ",1.31%
10/06/2021,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"1,732,538","$40,212,206.98 ",1.26%
10/06/2021,ARKF,FARFETCH LTD-CLASS A,FTCH,30744W107,"1,076,619","$38,682,920.67 ",1.21%
10/06/2021,ARKF,SNAP INC - A,SNAP,83304A106,"481,096","$35,317,257.36 ",1.11%
10/06/2021,ARKF,AMAZON.COM INC,AMZN,23135106,"8,434","$27,165,914.00 ",0.85%
10/06/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,"200,050","$21,205,300.00 ",0.66%
10/06/2021,ARKF,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"13,654,888","$13,654,887.66 ",0.43%
10/06/2021,ARKF,TOAST INC-CLASS A,TOST,888787108,"71,781","$3,739,790.10 ",0.12%
10/06/2021,ARKF,SOUTH AFRICAN RAND,,ZAR,137,$9.10 ,0.00%
