date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/14/2021,ARKF,"SQUARE INC - A",SQ,852234103,"1,367,281","$331,880,117.13",10.11%
10/14/2021,ARKF,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"828,485","$204,453,528.30",6.23%
10/14/2021,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,"2,164,867","$204,428,390.81",6.23%
10/14/2021,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,"144,590","$202,277,072.30",6.16%
10/14/2021,ARKF,"SEA LTD-ADR",SE,81141R100,"459,284","$160,450,865.40",4.89%
10/14/2021,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,"555,197","$142,330,302.92",4.34%
10/14/2021,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,"5,073,096","$119,167,025.04",3.63%
10/14/2021,ARKF,"TWILIO INC - A",TWLO,90138F102,"342,135","$118,296,597.60",3.60%
10/14/2021,ARKF,"ADYEN NV",ADYEN,BZ1HM42,"39,813","$115,397,324.12",3.52%
10/14/2021,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,"729,715","$99,255,834.30",3.02%
10/14/2021,ARKF,"MERCADOLIBRE INC",MELI,58733R102,"64,384","$97,762,597.12",2.98%
10/14/2021,ARKF,"UIPATH INC - CLASS A",PATH,90364P105,"1,854,917","$92,727,300.83",2.82%
10/14/2021,ARKF,"JD.COM INC-ADR",JD,47215P106,"1,106,266","$89,131,851.62",2.71%
10/14/2021,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,"1,555,066","$80,194,753.62",2.44%
10/14/2021,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,"721,524","$76,048,629.60",2.32%
10/14/2021,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,"478,981","$75,176,067.95",2.29%
10/14/2021,ARKF,"DOCUSIGN INC",DOCU,256163106,"285,688","$74,081,755.28",2.26%
10/14/2021,ARKF,"LENDINGCLUB CORP",LC,52603A208,"2,150,886","$69,323,055.78",2.11%
