date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/01/2021,ARKF,"SQUARE INC - A",SQ,852234103,"1,374,799","$349,886,345.50",10.25%
11/01/2021,ARKF,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"816,762","$260,890,118.04",7.64%
11/01/2021,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,"2,176,774","$225,579,089.62",6.61%
11/01/2021,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,"145,388","$213,244,941.24",6.25%
11/01/2021,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,"827,174","$123,736,958.66",3.63%
11/01/2021,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,"5,100,991","$120,944,496.61",3.54%
11/01/2021,ARKF,"ADYEN NV",ADYEN,BZ1HM42,"40,030","$120,800,317.90",3.54%
11/01/2021,ARKF,"SEA LTD-ADR",SE,81141R100,"327,513","$112,523,641.41",3.30%
11/01/2021,ARKF,"TWILIO INC - A",TWLO,90138F102,"361,264","$105,257,879.04",3.08%
11/01/2021,ARKF,"UIPATH INC - CLASS A",PATH,90364P105,"2,085,633","$104,803,058.25",3.07%
11/01/2021,ARKF,"LENDINGCLUB CORP",LC,52603A208,"2,162,716","$99,398,427.36",2.91%
11/01/2021,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,"419,879","$97,659,656.61",2.86%
11/01/2021,ARKF,"MERCADOLIBRE INC",MELI,58733R102,"64,734","$95,872,348.68",2.81%
11/01/2021,ARKF,"JD.COM INC-ADR",JD,47215P106,"1,112,349","$87,074,679.72",2.55%
11/01/2021,ARKF,"ETSY INC",ETSY,29786A106,"331,129","$83,010,729.01",2.43%
11/01/2021,ARKF,"DOCUSIGN INC",DOCU,256163106,"287,256","$79,940,472.24",2.34%
11/01/2021,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,"481,613","$75,430,228.06",2.21%
11/01/2021,ARKF,"DRAFTKINGS INC - CL A",DKNG,26142R104,"1,613,519","$75,173,850.21",2.20%
11/01/2021,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,"725,493","$74,290,483.20",2.18%
11/01/2021,ARKF,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"2,120,762","$74,163,047.14",2.17%
11/01/2021,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,"238,976","$69,298,260.48",2.03%
11/01/2021,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,"486,504","$67,361,343.84",1.97%
