date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/02/2021,ARKK,"TESLA INC",TSLA,88160R101,"2,161,621","$2,612,513,524.39",11.75%
11/02/2021,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,"9,859,603","$1,494,025,642.59",6.72%
11/02/2021,ARKK,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"3,972,660","$1,314,910,733.40",5.92%
11/02/2021,ARKK,"ROKU INC",ROKU,77543R102,"3,580,896","$1,137,722,277.12",5.12%
11/02/2021,ARKK,"UNITY SOFTWARE INC",U,91332U101,"7,467,685","$1,110,444,759.50",5.00%
11/02/2021,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"3,414,448","$952,426,125.12",4.29%
11/02/2021,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"3,094,923","$931,417,076.85",4.19%
11/02/2021,ARKK,"SQUARE INC - A",SQ,852234103,"3,211,625","$819,092,840.00",3.69%
11/02/2021,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,"517,351","$790,315,734.62",3.56%
11/02/2021,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,"6,839,995","$664,505,514.25",2.99%
11/02/2021,ARKK,"UIPATH INC - CLASS A",PATH,90364P105,"12,483,710","$658,890,213.80",2.96%
11/02/2021,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,"6,693,449","$652,209,670.56",2.93%
11/02/2021,ARKK,"TWILIO INC - A",TWLO,90138F102,"2,137,754","$642,608,852.40",2.89%
11/02/2021,ARKK,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"23,911,145","$635,080,011.20",2.86%
11/02/2021,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"4,607,686","$628,995,215.86",2.83%
11/02/2021,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"5,950,054","$567,992,154.84",2.56%
11/02/2021,ARKK,"TWITTER INC",TWTR,90184L102,"10,167,825","$560,348,835.75",2.52%
