date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/02/2021,ARKW,"TESLA INC",TSLA,88160R101,"554,970","$670,731,192.30",11.76%
11/02/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,"7,905,737","$389,278,489.88",6.83%
11/02/2021,ARKW,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"1,074,878","$355,773,869.22",6.24%
11/02/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,"2,060,231","$312,186,803.43",5.47%
11/02/2021,ARKW,"TWITTER INC",TWTR,90184L102,"5,054,877","$278,574,271.47",4.88%
11/02/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"858,377","$258,328,558.15",4.53%
11/02/2021,ARKW,"ROKU INC",ROKU,77543R102,"736,606","$234,034,458.32",4.10%
11/02/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,"1,535,991","$228,401,861.70",4.00%
11/02/2021,ARKW,"SQUARE INC - A",SQ,852234103,"855,470","$218,179,068.80",3.83%
11/02/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,"142,717","$218,017,343.54",3.82%
11/02/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"731,262","$203,978,222.28",3.58%
11/02/2021,ARKW,"DRAFTKINGS INC - CL A",DKNG,26142R104,"3,566,144","$174,812,378.88",3.07%
11/02/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,"565,776","$170,072,265.60",2.98%
11/02/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"5,206,650","$138,288,624.00",2.42%
11/02/2021,ARKW,"UIPATH INC - CLASS A",PATH,90364P105,"2,431,982","$128,360,009.96",2.25%
11/02/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,"1,321,220","$128,356,523.00",2.25%
11/02/2021,ARKW,"ROBLOX CORP -CLASS A",RBLX,771049103,"1,269,129","$102,977,127.06",1.81%
11/02/2021,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,"283,553","$93,566,818.94",1.64%
11/02/2021,ARKW,"SPLUNK INC",SPLK,848637104,"551,984","$91,629,344.00",1.61%
11/02/2021,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,"456,886","$88,754,674.36",1.56%
